carpeta_origen,ruta_relativa,formato,tipo,dimensiones_px,tamano_bytes,correspondencia_portafolio,paginas_pdf,rol_visual_o_tecnico,certeza,uso_web_recomendado,notas
GRANULAR ELEMENTOS,bolson_mapimi.svg,svg,vector editable,,209406,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,calidad_agua_total.svg,svg,vector editable,,7257317,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,circuito_radial_laguna.svg,svg,vector editable,,17757,P14 GRANULAR - Conectividad,69,red/capa de conectividad,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,class_edaf.svg,svg,vector editable,,6684317,P14 GRANULAR - Pilar V Ambiente,66-68,mapa/capa edáfico-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,comarca_base.svg,svg,vector editable,,25342997,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,comarca_base_conectividad.svg,svg,vector editable,,58264396,P14 GRANULAR - Conectividad,69,red/capa de conectividad,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,comarca_base_moradp.svg,svg,vector editable,,24710429,P14 GRANULAR - resultados del clustering,70-75,capa de clasificación,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,comarca_base_rosa.svg,svg,vector editable,,55678869,P14 GRANULAR - resultados del clustering,70-75,capa de clasificación,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,comarca_granjas.svg,svg,vector editable,,8850001,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,commuting.svg,svg,vector editable,,4948817,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,commuting_alto.svg,svg,vector editable,,11457305,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,commuting_bajo.svg,svg,vector editable,,11004421,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,commuting_medio.svg,svg,vector editable,,11341749,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,commuting_total.svg,svg,vector editable,,10993989,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,conectividad.svg,svg,vector editable,,6145805,P14 GRANULAR - Conectividad,69,red/capa de conectividad,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,cover_line.svg,svg,vector editable,,133076,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,critical_layers.svg,svg,vector editable,,3475,P14 GRANULAR - Pilar III Gobernanza,58-61,mapa/capa institucional-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,cuencas.svg,svg,vector editable,,208605,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,distritos_riego.svg,svg,vector editable,,7235369,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,edafologia_cs.svg,svg,vector editable,,5607073,P14 GRANULAR - Pilar V Ambiente,66-68,mapa/capa edáfico-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,fondo.svg,svg,vector editable,,33473927,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,gobernanza.svg,svg,vector editable,,17423665,P14 GRANULAR - Pilar III Gobernanza,58-61,mapa/capa institucional-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,grado_rezago.svg,svg,vector editable,,5853445,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,granular_flow.svg,svg,vector editable,,2931,P14 GRANULAR - síntesis y aplicaciones,70-79,diagrama metodológico/tipológico,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,hh}.svg,svg,vector editable,,15598733,P14 GRANULAR - exploraciones no confirmadas,40-79,boceto/activo experimental,baja,revisar,No se confirmó una aparición directa en el PDF.
GRANULAR ELEMENTOS,hill.svg,svg,vector editable,,26493546,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,hillshade_base.svg,svg,vector editable,,22193320,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,lcoalidades_total.svg,svg,vector editable,,21122359,P14 GRANULAR - resultados del clustering,70-75,capa de clasificación,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,localidades_agroproductivas.svg,svg,vector editable,,9367201,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,localidades_blue.svg,svg,vector editable,,10501929,P14 GRANULAR - resultados del clustering,70-75,capa de clasificación,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,localidades_parcial.svg,svg,vector editable,,2766815,P14 GRANULAR - resultados del clustering,70-75,capa de clasificación,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,marginacion.svg,svg,vector editable,,5091393,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,marginacion_localidades.svg,svg,vector editable,,1227491,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,marginacion_mun.svg,svg,vector editable,,1342931,P14 GRANULAR - Pilar IV Socioeconomía,62-65,mapa/capa socioeconómica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,methodology_flow.svg,svg,vector editable,,4554,P14 GRANULAR - síntesis y aplicaciones,70-79,diagrama metodológico/tipológico,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,mexico_typologies.svg,svg,vector editable,,3425,P14 GRANULAR - síntesis y aplicaciones,70-79,diagrama metodológico/tipológico,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,paisaje_comarca.svg,svg,vector editable,,571470,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,pilar_agua.svg,svg,vector editable,,7650221,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,portada.svg,svg,vector editable,,2041655,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,portada_def.svg,svg,vector editable,,26454521,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,pozos y plantas.svg,svg,vector editable,,8561623,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,pp_ Radar de Tensiones y Políticas_Hídricas_Comarca_Lagunera_(1990–2025).svg,svg,vector editable,,6894282,P14 GRANULAR - aplicaciones y gobernanza,78-79,diagrama de tensiones/políticas,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,riego_2.svg,svg,vector editable,,122809,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,rio nazas.svg,svg,vector editable,,272011,P14 GRANULAR - Pilar I Agua,42-47,mapa/capa hídrica,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,rostro.svg,svg,vector editable,,90479,P14 GRANULAR - exploraciones no confirmadas,40-79,boceto/activo experimental,baja,revisar,No se confirmó una aparición directa en el PDF.
GRANULAR ELEMENTOS,satelite_base_rostro.svg,svg,vector editable,,16530662,P14 GRANULAR - exploraciones no confirmadas,40-79,boceto/activo experimental,baja,revisar,No se confirmó una aparición directa en el PDF.
GRANULAR ELEMENTOS,satelite_base_rr.svg,svg,vector editable,,24024424,P14 GRANULAR - identidad/base territorial,40-79,"base, textura o máscara territorial",directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,sequia.svg,svg,vector editable,,5967787,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,suelos.svg,svg,vector editable,,8448041,P14 GRANULAR - Pilar V Ambiente,66-68,mapa/capa edáfico-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,sup_riego.svg,svg,vector editable,,8718249,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,tenencia_tierra.svg,svg,vector editable,,9719481,P14 GRANULAR - Pilar III Gobernanza,58-61,mapa/capa institucional-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,tipologias.ai,ai,fuente vectorial,,2930652,P14 GRANULAR - exploraciones no confirmadas,40-79,boceto/activo experimental,baja,fuente_editable,No se confirmó una aparición directa en el PDF.
GRANULAR ELEMENTOS,total_agro.svg,svg,vector editable,,21351905,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,total_granjas.svg,svg,vector editable,,21236913,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,total_granjas_2.svg,svg,vector editable,,23385921,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,vegetacion.svg,svg,vector editable,,6029909,P14 GRANULAR - Pilar V Ambiente,66-68,mapa/capa edáfico-ambiental,directa,publicar_svg_optimizado,
GRANULAR ELEMENTOS,vulnerabilidad_sequia.svg,svg,vector editable,,1684276,P14 GRANULAR - Pilar II Agropecuario,48-57,mapa/capa agroproductiva,directa,publicar_svg_optimizado,
